Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_2.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_2.js                           | JavaScript |         -9 |          0 |         -1 |        -10 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_3.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_3.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_4.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_4.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_5.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_5.js                           | JavaScript |       -477 |          0 |         -1 |       -478 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_6.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_6.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_7.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_7.js                           | JavaScript |        -11 |          0 |         -1 |        -12 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_8.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_8.js                           | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_9.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_9.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_a.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_a.js                           | JavaScript |        -11 |          0 |         -1 |        -12 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_b.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_b.js                           | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_c.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_c.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_d.html                         | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\all_d.js                           | JavaScript |         -4 |          0 |         -1 |         -5 |
